id,password,age,gender,occupation,zipcode
76,123456,20,M,student,2215
77,123456,30,M,technician,29379
78,123456,26,M,administrator,61801
79,123456,39,F,administrator,3755
80,123456,34,F,administrator,52241
81,123456,21,M,student,21218
82,123456,50,M,programmer,22902
83,123456,40,M,other,44133
84,123456,32,M,executive,55369
85,123456,51,M,educator,20003
86,123456,26,M,administrator,46005
87,123456,47,M,administrator,89503
88,123456,49,F,librarian,11701
89,123456,43,F,administrator,68106
90,123456,60,M,educator,78155
91,123456,55,M,marketing,1913
92,123456,32,M,entertainment,80525
93,123456,48,M,executive,23112
94,123456,26,M,student,71457
95,123456,31,M,administrator,10707
96,123456,25,F,artist,75206
97,123456,43,M,artist,98006
98,123456,49,F,executive,90291
99,123456,20,M,student,63129
100,123456,36,M,executive,90254
101,123456,15,M,student,5146
102,123456,38,M,programmer,30220
103,123456,26,M,student,55108
104,123456,27,M,student,55108
105,123456,24,M,engineer,94043
106,123456,61,M,retired,55125
107,123456,39,M,scientist,60466
108,123456,44,M,educator,63130
109,123456,29,M,other,55423
110,123456,19,M,student,77840
111,123456,57,M,engineer,90630
112,123456,30,M,salesman,60613
113,123456,47,M,executive,95032
114,123456,27,M,programmer,75013
115,123456,31,M,engineer,17110
116,123456,40,M,healthcare,97232
117,123456,20,M,student,16125
118,123456,21,M,administrator,90210
119,123456,32,M,programmer,67401
120,123456,47,F,other,6260
121,123456,54,M,librarian,99603
122,123456,32,F,writer,22206
123,123456,48,F,artist,20008
124,123456,34,M,student,60615
125,123456,30,M,lawyer,22202
126,123456,28,F,lawyer,20015
127,123456,33,M,none,73439
128,123456,24,F,marketing,20009
129,123456,36,F,marketing,7039
130,123456,20,M,none,60115
131,123456,59,F,administrator,15237
132,123456,24,M,other,94612
133,123456,53,M,engineer,78602
134,123456,31,M,programmer,80236
135,123456,23,M,student,38401
136,123456,51,M,other,97365
137,123456,50,M,educator,84408
138,123456,46,M,doctor,53211
139,123456,20,M,student,8904
140,123456,30,F,student,32250
141,123456,49,M,programmer,36117
142,123456,13,M,other,48118
143,123456,42,M,technician,8832
144,123456,53,M,programmer,20910
145,123456,31,M,entertainment,V3N4P
146,123456,45,M,artist,83814
147,123456,40,F,librarian,2143
148,123456,33,M,engineer,97006
149,123456,35,F,marketing,17325
150,123456,20,F,artist,2139
151,123456,38,F,administrator,48103
152,123456,33,F,educator,68767
153,123456,25,M,student,60641
154,123456,25,M,student,53703
155,123456,32,F,other,11217
156,123456,25,M,educator,8360
157,123456,57,M,engineer,70808
158,123456,50,M,educator,27606
159,123456,23,F,student,55346
160,123456,27,M,programmer,66215
161,123456,50,M,lawyer,55104
162,123456,25,M,artist,15610
163,123456,49,M,administrator,97212
164,123456,47,M,healthcare,80123
165,123456,20,F,other,53715
166,123456,47,M,educator,55113
167,123456,37,M,other,L9G2B
168,123456,48,M,other,80127
169,123456,52,F,other,53705
170,123456,53,F,healthcare,30067
171,123456,48,F,educator,78750
172,123456,55,M,marketing,22207
173,123456,56,M,other,22306
174,123456,30,F,administrator,52302
175,123456,26,F,scientist,21911
176,123456,28,M,scientist,7030
177,123456,20,M,programmer,19104
178,123456,26,M,other,49512
179,123456,15,M,entertainment,20755
180,123456,22,F,administrator,60202
181,123456,26,M,executive,21218
182,123456,36,M,programmer,33884
183,123456,33,M,scientist,27708
184,123456,37,M,librarian,76013
185,123456,53,F,librarian,97403
186,123456,39,F,executive,0
187,123456,26,M,educator,16801
188,123456,42,M,student,29440
189,123456,32,M,artist,95014
190,123456,30,M,administrator,95938
191,123456,33,M,administrator,95161
192,123456,42,M,educator,90840
193,123456,29,M,student,49931
194,123456,38,M,administrator,2154
195,123456,42,M,scientist,93555
196,123456,49,M,writer,55105
197,123456,55,M,technician,75094
198,123456,21,F,student,55414
199,123456,30,M,writer,17604
200,123456,40,M,programmer,93402
201,123456,27,M,writer,E2A4H
202,123456,41,F,educator,60201
203,123456,25,F,student,32301
204,123456,52,F,librarian,10960
205,123456,47,M,lawyer,6371
206,123456,14,F,student,53115
207,123456,39,M,marketing,92037
208,123456,43,M,engineer,1720
209,123456,33,F,educator,85710
210,123456,39,M,engineer,3060
211,123456,66,M,salesman,32605
212,123456,49,F,educator,61401
213,123456,33,M,executive,55345
214,123456,26,F,librarian,11231
215,123456,35,M,programmer,63033
216,123456,22,M,engineer,2215
217,123456,22,M,other,11727
218,123456,37,M,administrator,6513
219,123456,32,M,programmer,43212
220,123456,30,M,librarian,78205
221,123456,19,M,student,20685
222,123456,29,M,programmer,27502
223,123456,19,F,student,47906
224,123456,31,F,educator,43512
225,123456,51,F,administrator,58202
226,123456,28,M,student,92103
227,123456,46,M,executive,60659
228,123456,21,F,student,22003
229,123456,29,F,librarian,22903
230,123456,28,F,student,14476
231,123456,48,M,librarian,1080
232,123456,45,M,scientist,99709
233,123456,38,M,engineer,98682
234,123456,60,M,retired,94702
235,123456,37,M,educator,22973
236,123456,44,F,writer,53214
237,123456,49,M,administrator,63146
238,123456,42,F,administrator,44124
239,123456,39,M,artist,95628
240,123456,23,F,educator,20784
241,123456,26,F,student,20001
242,123456,33,M,educator,31404
243,123456,33,M,educator,60201
244,123456,28,M,technician,80525
245,123456,22,M,student,55109
246,123456,19,M,student,28734
247,123456,28,M,engineer,20770
248,123456,25,M,student,37235
249,123456,25,M,student,84103
250,123456,29,M,executive,95110
251,123456,28,M,doctor,85032
252,123456,42,M,engineer,7733
253,123456,26,F,librarian,22903
254,123456,44,M,educator,42647
255,123456,23,M,entertainment,7029
256,123456,35,F,none,39042
257,123456,17,M,student,77005
258,123456,19,F,student,77801
259,123456,21,M,student,48823
260,123456,40,F,artist,89801
261,123456,28,M,administrator,85202
262,123456,19,F,student,78264
263,123456,41,M,programmer,55346
264,123456,36,F,writer,90064
265,123456,26,M,executive,84601
266,123456,62,F,administrator,78756
267,123456,23,M,engineer,83716
268,123456,24,M,engineer,19422
269,123456,31,F,librarian,43201
270,123456,18,F,student,63119
271,123456,51,M,engineer,22932
272,123456,33,M,scientist,53706
273,123456,50,F,other,10016
274,123456,20,F,student,55414
275,123456,38,M,engineer,92064
276,123456,21,M,student,95064
277,123456,35,F,administrator,55406
278,123456,37,F,librarian,30033
279,123456,33,M,programmer,85251
280,123456,30,F,librarian,22903
281,123456,15,F,student,6059
282,123456,22,M,administrator,20057
283,123456,28,M,programmer,55305
284,123456,40,M,executive,92629
285,123456,25,M,programmer,53713
286,123456,27,M,student,15217
287,123456,21,M,salesman,31211
288,123456,34,M,marketing,23226
289,123456,11,M,none,94619
290,123456,40,M,engineer,93550
291,123456,19,M,student,44106
292,123456,35,F,programmer,94703
293,123456,24,M,writer,60804
294,123456,34,M,technician,92110
295,123456,31,M,educator,50325
296,123456,43,F,administrator,16803
297,123456,29,F,educator,98103
298,123456,44,M,executive,1581
299,123456,29,M,doctor,63108
300,123456,26,F,programmer,55106
301,123456,24,M,student,55439
302,123456,42,M,educator,77904
303,123456,19,M,student,14853
304,123456,22,F,student,71701
305,123456,23,M,programmer,94086
306,123456,45,M,other,73132
307,123456,25,M,student,55454
308,123456,60,M,retired,95076
309,123456,40,M,scientist,70802
310,123456,37,M,educator,91711
311,123456,32,M,technician,73071
312,123456,48,M,other,2110
313,123456,41,M,marketing,60035
314,123456,20,F,student,8043
315,123456,31,M,educator,18301
316,123456,43,F,other,77009
317,123456,22,M,administrator,13210
318,123456,65,M,retired,6518
319,123456,38,M,programmer,22030
320,123456,19,M,student,24060
321,123456,49,F,educator,55413
322,123456,20,M,student,50613
323,123456,21,M,student,19149
324,123456,21,F,student,2176
325,123456,48,M,technician,2139
326,123456,41,M,administrator,15235
327,123456,22,M,student,11101
328,123456,51,M,administrator,6779
329,123456,48,M,educator,1720
330,123456,35,F,educator,33884
331,123456,33,M,entertainment,91344
332,123456,20,M,student,40504
333,123456,47,M,other,V0R2M
334,123456,32,M,librarian,30002
335,123456,45,M,executive,33775
336,123456,23,M,salesman,42101
337,123456,37,M,scientist,10522
338,123456,39,F,librarian,59717
339,123456,35,M,lawyer,37901
340,123456,46,M,engineer,80123
341,123456,17,F,student,44405
342,123456,25,F,other,98006
343,123456,43,M,engineer,30093
344,123456,30,F,librarian,94117
345,123456,28,F,librarian,94143
346,123456,34,M,other,76059
347,123456,18,M,student,90210
348,123456,24,F,student,45660
349,123456,68,M,retired,61455
350,123456,32,M,student,97301
351,123456,61,M,educator,49938
352,123456,37,F,programmer,55105
353,123456,25,M,scientist,28480
354,123456,29,F,librarian,48197
355,123456,25,M,student,60135
356,123456,32,F,homemaker,92688
357,123456,26,M,executive,98133
358,123456,40,M,educator,10022
359,123456,22,M,student,61801
360,123456,51,M,other,98027
361,123456,22,M,student,44074
362,123456,35,F,homemaker,85233
363,123456,20,M,student,87501
364,123456,63,M,engineer,1810
365,123456,29,M,lawyer,20009
366,123456,20,F,student,50670
367,123456,17,M,student,37411
368,123456,18,M,student,92113
369,123456,24,M,student,91335
370,123456,52,M,writer,8534
371,123456,36,M,engineer,99206
372,123456,25,F,student,66046
373,123456,24,F,other,55116
374,123456,36,M,executive,78746
375,123456,17,M,entertainment,37777
376,123456,28,F,other,10010
377,123456,22,M,student,18015
378,123456,35,M,student,2859
379,123456,44,M,programmer,98117
380,123456,32,M,engineer,55117
381,123456,33,M,artist,94608
382,123456,45,M,engineer,1824
383,123456,42,M,administrator,75204
384,123456,52,M,programmer,45218
385,123456,36,M,writer,10003
386,123456,36,M,salesman,43221
387,123456,33,M,entertainment,37412
388,123456,31,M,other,36106
389,123456,44,F,writer,83702
390,123456,42,F,writer,85016
391,123456,23,M,student,84604
392,123456,52,M,writer,59801
393,123456,19,M,student,83686
394,123456,25,M,administrator,96819
395,123456,43,M,other,44092
396,123456,57,M,engineer,94551
397,123456,17,M,student,27514
398,123456,40,M,other,60008
399,123456,25,M,other,92374
400,123456,33,F,administrator,78213
401,123456,46,F,healthcare,84107
402,123456,30,M,engineer,95129
403,123456,37,M,other,6811
404,123456,29,F,programmer,55108
405,123456,22,F,healthcare,10019
406,123456,52,M,educator,93109
407,123456,29,M,engineer,3261
408,123456,23,M,student,61755
409,123456,48,M,administrator,98225
410,123456,30,F,artist,94025
411,123456,34,M,educator,44691
412,123456,25,M,educator,15222
413,123456,55,M,educator,78212
414,123456,24,M,programmer,38115
415,123456,39,M,educator,85711
416,123456,20,F,student,92626
417,123456,27,F,other,48103
418,123456,55,F,none,21206
419,123456,37,M,lawyer,43215
420,123456,53,M,educator,2140
421,123456,38,F,programmer,55105
422,123456,26,M,entertainment,94533
423,123456,64,M,other,91606
424,123456,36,F,marketing,55422
425,123456,19,M,student,58644
426,123456,55,M,educator,1602
427,123456,51,M,doctor,85258
428,123456,28,M,student,55414
429,123456,27,M,student,29205
430,123456,38,M,scientist,98199
431,123456,24,M,marketing,92629
432,123456,22,M,entertainment,50311
433,123456,27,M,artist,11211
434,123456,16,F,student,49705
435,123456,24,M,engineer,60007
436,123456,30,F,administrator,17345
437,123456,27,F,other,20009
438,123456,51,F,administrator,43204
439,123456,23,F,administrator,20817
440,123456,30,M,other,48076
441,123456,50,M,technician,55013
442,123456,22,M,student,85282
443,123456,35,M,salesman,33308
444,123456,51,F,lawyer,53202
445,123456,21,M,writer,92653
446,123456,57,M,educator,60201
447,123456,30,M,administrator,55113
448,123456,23,M,entertainment,10021
449,123456,23,M,librarian,55021
450,123456,35,F,educator,11758
451,123456,16,M,student,48446
452,123456,35,M,administrator,28018
453,123456,18,M,student,6333
454,123456,57,M,other,97330
455,123456,48,M,administrator,83709
456,123456,24,M,technician,31820
457,123456,33,F,salesman,30011
458,123456,47,M,technician,Y1A6B
459,123456,22,M,student,29201
460,123456,44,F,other,60630
461,123456,15,M,student,98102
462,123456,19,F,student,2918
463,123456,48,F,healthcare,75218
464,123456,60,M,writer,94583
465,123456,32,M,other,5001
466,123456,22,M,student,90804
467,123456,29,M,engineer,91201
468,123456,28,M,engineer,2341
469,123456,60,M,educator,78628
470,123456,24,M,programmer,10021
471,123456,10,M,student,77459
472,123456,24,M,student,87544
473,123456,29,M,student,94708
474,123456,51,M,executive,93711
475,123456,30,M,programmer,75230
476,123456,28,M,student,60440
477,123456,23,F,student,2125
478,123456,29,M,other,10019
479,123456,30,M,educator,55409
480,123456,57,M,retired,98257
481,123456,73,M,retired,37771
482,123456,18,F,student,40256
483,123456,29,M,scientist,43212
484,123456,27,M,student,21208
485,123456,44,F,educator,95821
486,123456,39,M,educator,93101
487,123456,22,M,engineer,92121
488,123456,48,M,technician,21012
489,123456,55,M,other,45218
490,123456,29,F,artist,V5A2B
491,123456,43,F,writer,53711
492,123456,57,M,educator,94618
493,123456,22,M,engineer,60090
494,123456,38,F,administrator,49428
495,123456,29,M,engineer,3052
496,123456,21,F,student,55414
497,123456,20,M,student,50112
498,123456,26,M,writer,55408
499,123456,42,M,programmer,75006
500,123456,28,M,administrator,94305
501,123456,22,M,student,10025
502,123456,22,M,student,23092
503,123456,50,F,writer,27514
504,123456,40,F,writer,92115
505,123456,27,F,other,20657
506,123456,46,M,programmer,3869
507,123456,18,F,writer,28450
508,123456,27,M,marketing,19382
509,123456,23,M,administrator,10011
510,123456,34,M,other,98038
511,123456,22,M,student,21250
512,123456,29,M,other,20090
513,123456,43,M,administrator,26241
514,123456,27,M,programmer,20707
515,123456,53,M,marketing,49508
516,123456,53,F,librarian,10021
517,123456,24,M,student,55454
518,123456,49,F,writer,99709
519,123456,22,M,other,55320
520,123456,62,M,healthcare,12603
521,123456,19,M,student,2146
522,123456,36,M,engineer,55443
523,123456,50,F,administrator,4102
524,123456,56,M,educator,2159
525,123456,27,F,administrator,19711
526,123456,30,M,marketing,97124
527,123456,33,M,librarian,12180
528,123456,18,M,student,55104
529,123456,47,F,administrator,44224
530,123456,29,M,engineer,94040
531,123456,30,F,salesman,97408
532,123456,20,M,student,92705
533,123456,43,M,librarian,2324
534,123456,20,M,student,5464
535,123456,45,F,educator,80302
536,123456,38,M,engineer,30078
537,123456,36,M,engineer,22902
538,123456,31,M,scientist,21010
539,123456,53,F,administrator,80303
540,123456,28,M,engineer,91201
541,123456,19,F,student,84302
542,123456,21,M,student,60515
543,123456,33,M,scientist,95123
544,123456,44,F,other,29464
545,123456,27,M,technician,8052
546,123456,36,M,executive,22911
547,123456,50,M,educator,14534
548,123456,51,M,writer,95468
549,123456,42,M,scientist,45680
550,123456,16,F,student,95453
551,123456,25,M,programmer,55414
552,123456,45,M,other,68147
553,123456,58,M,educator,62901
554,123456,32,M,scientist,62901
555,123456,29,F,educator,23227
556,123456,35,F,educator,30606
557,123456,30,F,writer,11217
558,123456,56,F,writer,63132
559,123456,69,M,executive,10022
560,123456,32,M,student,10003
561,123456,23,M,engineer,60005
562,123456,54,F,administrator,20879
563,123456,39,F,librarian,32707
564,123456,65,M,retired,94591
565,123456,40,M,student,55422
566,123456,20,M,student,14627
567,123456,24,M,entertainment,10003
568,123456,39,M,educator,1915
569,123456,34,M,educator,91903
570,123456,26,M,educator,14627
571,123456,34,M,artist,1945
572,123456,51,M,educator,20003
573,123456,68,M,retired,48911
574,123456,56,M,educator,53188
575,123456,33,M,marketing,46032
576,123456,48,M,executive,98281
577,123456,36,F,student,77845
578,123456,31,M,administrator,M7A1A
579,123456,32,M,educator,48103
580,123456,16,M,student,17961
581,123456,37,M,other,94131
582,123456,17,M,student,93003
583,123456,44,M,engineer,29631
584,123456,25,M,student,27511
585,123456,69,M,librarian,98501
586,123456,20,M,student,79508
587,123456,26,M,other,14216
588,123456,18,F,student,93063
589,123456,21,M,lawyer,90034
590,123456,50,M,educator,82435
591,123456,57,F,librarian,92093
592,123456,18,M,student,97520
593,123456,31,F,educator,68767
594,123456,46,M,educator,M4J2K
595,123456,25,M,programmer,31909
596,123456,20,M,artist,77073
597,123456,23,M,other,84116
598,123456,40,F,marketing,43085
599,123456,22,F,student,R3T5K
600,123456,34,M,programmer,2320
601,123456,19,F,artist,99687
602,123456,47,F,other,34656
603,123456,21,M,programmer,47905
604,123456,39,M,educator,11787
605,123456,33,M,engineer,33716
606,123456,28,M,programmer,63044
607,123456,49,F,healthcare,2154
608,123456,22,M,other,10003
609,123456,13,F,student,55106
610,123456,22,M,student,21227
611,123456,46,M,librarian,77008
612,123456,36,M,educator,79070
613,123456,37,F,marketing,29678
614,123456,54,M,educator,80227
615,123456,38,M,educator,27705
616,123456,55,M,scientist,50613
617,123456,27,F,writer,11201
618,123456,15,F,student,44212
619,123456,17,M,student,44134
620,123456,18,F,writer,81648
621,123456,17,M,student,60402
622,123456,25,M,programmer,14850
623,123456,50,F,educator,60187
624,123456,19,M,student,30067
625,123456,27,M,programmer,20723
626,123456,23,M,scientist,19807
627,123456,24,M,engineer,8034
628,123456,13,M,none,94306
629,123456,46,F,other,44224
630,123456,26,F,healthcare,55408
631,123456,18,F,student,38866
632,123456,18,M,student,55454
633,123456,35,M,programmer,55414
634,123456,39,M,engineer,T8H1N
635,123456,22,M,other,23237
636,123456,47,M,educator,48043
637,123456,30,M,other,74101
638,123456,45,M,engineer,1940
639,123456,42,F,librarian,12065
640,123456,20,M,student,61801
641,123456,24,M,student,60626
642,123456,18,F,student,95521
643,123456,39,M,scientist,55122
644,123456,51,M,retired,63645
645,123456,27,M,programmer,53211
646,123456,17,F,student,51250
647,123456,40,M,educator,45810
648,123456,43,M,engineer,91351
649,123456,20,M,student,39762
650,123456,42,M,engineer,83814
651,123456,65,M,retired,2903
652,123456,35,M,other,22911
653,123456,31,M,executive,55105
654,123456,27,F,student,78739
655,123456,50,F,healthcare,60657
656,123456,48,M,educator,10314
657,123456,26,F,none,78704
658,123456,33,M,programmer,92626
659,123456,31,M,educator,54248
660,123456,26,M,student,77380
661,123456,28,M,programmer,98121
662,123456,55,M,librarian,19102
663,123456,26,M,other,19341
664,123456,30,M,engineer,94115
665,123456,25,M,administrator,55412
666,123456,44,M,administrator,61820
667,123456,35,M,librarian,1970
668,123456,29,F,writer,10016
669,123456,37,M,other,20009
670,123456,30,M,technician,21114
671,123456,21,M,programmer,91919
672,123456,54,F,administrator,90095
673,123456,51,M,educator,22906
674,123456,13,F,student,55337
675,123456,34,M,other,28814
676,123456,30,M,programmer,32712
677,123456,20,M,other,99835
678,123456,50,M,educator,61462
679,123456,20,F,student,54302
680,123456,33,M,lawyer,90405
681,123456,44,F,marketing,97208
682,123456,23,M,programmer,55128
683,123456,42,M,librarian,23509
684,123456,28,M,student,55414
685,123456,32,F,librarian,55409
686,123456,32,M,educator,26506
687,123456,31,F,healthcare,27713
688,123456,37,F,administrator,60476
689,123456,25,M,other,45439
690,123456,35,M,salesman,63304
691,123456,34,M,educator,60089
692,123456,34,M,engineer,18053
693,123456,43,F,healthcare,85210
694,123456,60,M,programmer,6365
695,123456,26,M,writer,38115
696,123456,55,M,other,94920
697,123456,25,M,other,77042
698,123456,28,F,programmer,6906
699,123456,44,M,other,96754
700,123456,17,M,student,76309
701,123456,51,F,librarian,56321
702,123456,37,M,other,89104
703,123456,26,M,educator,49512
704,123456,51,F,librarian,91105
705,123456,21,F,student,54494
706,123456,23,M,student,55454
707,123456,56,F,librarian,19146
708,123456,26,F,homemaker,96349
709,123456,21,M,other,N4T1A
710,123456,19,M,student,92020
711,123456,22,F,student,15203
712,123456,22,F,student,54901
713,123456,42,F,other,7204
714,123456,26,M,engineer,55343
715,123456,21,M,technician,91206
716,123456,36,F,administrator,44265
717,123456,24,M,technician,84105
718,123456,42,M,technician,64118
719,123456,37,F,other,V0R2H
720,123456,49,F,administrator,16506
721,123456,24,F,entertainment,11238
722,123456,50,F,homemaker,17331
723,123456,26,M,executive,94403
724,123456,31,M,executive,40243
725,123456,21,M,student,91711
726,123456,25,F,administrator,80538
727,123456,25,M,student,78741
728,123456,58,M,executive,94306
729,123456,19,M,student,56567
730,123456,31,F,scientist,32114
731,123456,41,F,educator,70403
732,123456,28,F,other,98405
733,123456,44,F,other,60630
734,123456,25,F,other,63108
735,123456,29,F,healthcare,85719
736,123456,48,F,writer,94618
737,123456,30,M,programmer,98072
738,123456,35,M,technician,95403
739,123456,35,M,technician,73162
740,123456,25,F,educator,22206
741,123456,25,M,writer,63108
742,123456,35,M,student,29210
743,123456,31,M,programmer,92660
744,123456,35,M,marketing,47024
745,123456,42,M,writer,55113
746,123456,25,M,engineer,19047
747,123456,19,M,other,93612
748,123456,28,M,administrator,94720
749,123456,33,M,other,80919
750,123456,28,M,administrator,32303
751,123456,24,F,other,90034
752,123456,60,M,retired,21201
753,123456,56,M,salesman,91206
754,123456,59,F,librarian,62901
755,123456,44,F,educator,97007
756,123456,30,F,none,90247
757,123456,26,M,student,55104
758,123456,27,M,student,53706
759,123456,20,F,student,68503
760,123456,35,F,other,14211
761,123456,17,M,student,97302
762,123456,32,M,administrator,95050
763,123456,27,M,scientist,2113
764,123456,27,F,educator,62903
765,123456,31,M,student,33066
766,123456,42,M,other,10960
767,123456,70,M,engineer,0
768,123456,29,M,administrator,12866
769,123456,39,M,executive,6927
770,123456,28,M,student,14216
771,123456,26,M,student,15232
772,123456,50,M,writer,27105
773,123456,20,M,student,55414
774,123456,30,M,student,80027
775,123456,46,M,executive,90036
776,123456,30,M,librarian,51157
777,123456,63,M,programmer,1810
778,123456,34,M,student,1960
779,123456,31,M,student,K7L5J
780,123456,49,M,programmer,94560
781,123456,20,M,student,48825
782,123456,21,F,artist,33205
783,123456,30,M,marketing,77081
784,123456,47,M,administrator,91040
785,123456,32,M,engineer,23322
786,123456,36,F,engineer,1754
787,123456,18,F,student,98620
788,123456,51,M,administrator,5779
789,123456,29,M,other,55420
790,123456,27,M,technician,80913
791,123456,31,M,educator,20064
792,123456,40,M,programmer,12205
793,123456,22,M,student,85281
794,123456,32,M,educator,57197
795,123456,30,M,programmer,8610
796,123456,32,F,writer,33755
797,123456,44,F,other,62522
798,123456,40,F,writer,64131
799,123456,49,F,administrator,19716
800,123456,25,M,programmer,55337
801,123456,22,M,writer,92154
802,123456,35,M,administrator,34105
803,123456,70,M,administrator,78212
804,123456,39,M,educator,61820
805,123456,27,F,other,20009
806,123456,27,M,marketing,11217
807,123456,41,F,healthcare,93555
808,123456,45,M,salesman,90016
809,123456,50,F,marketing,30803
810,123456,55,F,other,80526
811,123456,40,F,educator,73013
812,123456,22,M,technician,76234
813,123456,14,F,student,2136
814,123456,30,M,other,12345
815,123456,32,M,other,28806
816,123456,34,M,other,20755
817,123456,19,M,student,60152
818,123456,28,M,librarian,27514
819,123456,59,M,administrator,40205
820,123456,22,M,student,37725
821,123456,37,M,engineer,77845
822,123456,29,F,librarian,53144
823,123456,27,M,artist,50322
824,123456,31,M,other,15017
825,123456,44,M,engineer,5452
826,123456,28,M,artist,77048
827,123456,23,F,engineer,80228
828,123456,28,M,librarian,85282
829,123456,48,M,writer,80209
830,123456,46,M,programmer,53066
831,123456,21,M,other,33765
832,123456,24,M,technician,77042
833,123456,34,M,writer,90019
834,123456,26,M,other,64153
835,123456,44,F,executive,11577
836,123456,44,M,artist,10018
837,123456,36,F,artist,55409
838,123456,23,M,student,1375
839,123456,38,F,entertainment,90814
840,123456,39,M,artist,55406
841,123456,45,M,doctor,47401
842,123456,40,M,writer,93055
843,123456,35,M,librarian,44212
844,123456,22,M,engineer,95662
845,123456,64,M,doctor,97405
846,123456,27,M,lawyer,47130
847,123456,29,M,student,55417
848,123456,46,M,engineer,2146
849,123456,15,F,student,25652
850,123456,34,M,technician,78390
851,123456,18,M,other,29646
852,123456,46,M,administrator,94086
853,123456,49,M,writer,40515
854,123456,29,F,student,55408
855,123456,53,M,librarian,4988
856,123456,43,F,marketing,97215
857,123456,35,F,administrator,V1G4L
858,123456,63,M,educator,9645
859,123456,18,F,other,6492
860,123456,70,F,retired,48322
861,123456,38,F,student,14085
862,123456,25,M,executive,13820
863,123456,17,M,student,60089
864,123456,27,M,programmer,63021
865,123456,25,M,artist,11231
866,123456,45,M,other,60302
867,123456,24,M,scientist,92507
868,123456,21,M,programmer,55303
869,123456,30,M,student,10025
870,123456,22,M,student,65203
871,123456,31,M,executive,44648
872,123456,19,F,student,74078
873,123456,48,F,administrator,33763
874,123456,36,M,scientist,37076
875,123456,24,F,student,35802
876,123456,41,M,other,20902
877,123456,30,M,other,77504
878,123456,50,F,educator,98027
879,123456,33,F,administrator,55337
880,123456,13,M,student,83702
881,123456,39,M,marketing,43017
882,123456,35,M,engineer,40503
883,123456,49,M,librarian,50266
884,123456,44,M,engineer,55337
885,123456,30,F,other,95316
886,123456,20,M,student,61820
887,123456,14,F,student,27249
888,123456,41,M,scientist,17036
889,123456,24,M,technician,78704
890,123456,32,M,student,97301
891,123456,51,F,administrator,3062
892,123456,36,M,other,45243
893,123456,25,M,student,95823
894,123456,47,M,educator,74075
895,123456,31,F,librarian,32301
896,123456,28,M,writer,91505
897,123456,30,M,other,33484
898,123456,23,M,homemaker,61755
899,123456,32,M,other,55116
900,123456,60,M,retired,18505
901,123456,38,M,executive,L1V3W
902,123456,45,F,artist,97203
903,123456,28,M,educator,20850
904,123456,17,F,student,61073
905,123456,27,M,other,30350
906,123456,45,M,librarian,70124
907,123456,25,F,other,80526
908,123456,44,F,librarian,68504
909,123456,50,F,educator,53171
910,123456,28,M,healthcare,29301
911,123456,37,F,writer,53210
912,123456,51,M,other,6512
913,123456,27,M,student,76201
914,123456,44,F,other,8105
915,123456,50,M,entertainment,60614
916,123456,27,M,engineer,N2L5N
917,123456,22,F,student,20006
918,123456,40,M,scientist,70116
